onet	personality_trait	score
11-9199.03	Investigative	1.67
11-9199.03	Artistic	1.00
11-9199.03	Social	2.67
11-9199.03	Enterprising	7.00
11-9199.03	Conventional	4.67
11-9199.04	Realistic	2.67
11-9199.04	Investigative	2.00
11-9199.04	Artistic	1.67
11-9199.04	Social	2.33
11-9199.04	Enterprising	7.00
11-9199.04	Conventional	4.67
11-9199.07	Realistic	3.33
11-9199.07	Investigative	3.00
11-9199.07	Artistic	1.33
11-9199.07	Social	1.33
11-9199.07	Enterprising	7.00
11-9199.07	Conventional	5.00
11-9199.08	Realistic	3.67
11-9199.08	Investigative	2.00
11-9199.08	Artistic	1.00
11-9199.08	Social	2.67
11-9199.08	Enterprising	7.00
11-9199.08	Conventional	6.00
11-9199.09	Realistic	4.00
11-9199.09	Investigative	3.00
11-9199.09	Artistic	1.67
11-9199.09	Social	1.33
11-9199.09	Enterprising	6.67
11-9199.09	Conventional	5.67
11-9199.10	Realistic	2.33
11-9199.10	Investigative	4.33
11-9199.10	Artistic	2.33
11-9199.10	Social	2.00
11-9199.10	Enterprising	7.00
11-9199.10	Conventional	4.67
11-9199.11	Realistic	3.00
11-9199.11	Investigative	5.33
11-9199.11	Artistic	2.00
11-9199.11	Social	1.67
11-9199.11	Enterprising	6.67
11-9199.11	Conventional	4.67
13-1011.00	Realistic	1.33
13-1011.00	Investigative	1.33
13-1011.00	Artistic	3.00
13-1011.00	Social	4.33
13-1011.00	Enterprising	7.00
13-1011.00	Conventional	4.67
13-1021.00	Realistic	4.00
13-1021.00	Investigative	1.33
13-1021.00	Artistic	1.67
13-1021.00	Social	2.67
13-1021.00	Enterprising	6.33
13-1021.00	Conventional	6.00
13-1022.00	Realistic	3.33
13-1022.00	Investigative	2.00
13-1022.00	Artistic	1.33
13-1022.00	Social	2.33
13-1022.00	Enterprising	7.00
13-1022.00	Conventional	5.67
13-1023.00	Realistic	3.67
13-1023.00	Investigative	2.67
13-1023.00	Artistic	1.00
13-1023.00	Social	2.00
13-1023.00	Enterprising	6.33
13-1023.00	Conventional	6.67
13-1031.01	Realistic	2.67
13-1031.01	Investigative	3.33
13-1031.01	Artistic	1.33
13-1031.01	Social	2.67
13-1031.01	Enterprising	5.33
13-1031.01	Conventional	6.67
13-1031.02	Realistic	2.67
13-1031.02	Investigative	2.67
13-1031.02	Artistic	1.33
13-1031.02	Social	2.67
13-1031.02	Enterprising	5.33
13-1031.02	Conventional	6.67
13-1032.00	Realistic	5.67
13-1032.00	Investigative	2.00
13-1032.00	Artistic	1.00
13-1032.00	Social	2.33
13-1032.00	Enterprising	4.33
13-1032.00	Conventional	6.67
13-1041.01	Realistic	5.00
13-1041.01	Investigative	6.00
13-1041.01	Artistic	2.00
13-1041.01	Social	2.00
13-1041.01	Enterprising	2.00
13-1041.01	Conventional	6.00
13-1041.02	Realistic	2.33
13-1041.02	Investigative	1.67
13-1041.02	Artistic	1.00
13-1041.02	Social	3.00
13-1041.02	Enterprising	6.00
13-1041.02	Conventional	6.00
13-1041.03	Realistic	1.00
13-1041.03	Investigative	3.00
13-1041.03	Artistic	2.33
13-1041.03	Social	6.33
13-1041.03	Enterprising	6.00
13-1041.03	Conventional	4.33
13-1041.04	Realistic	3.67
13-1041.04	Investigative	3.00
13-1041.04	Artistic	1.00
13-1041.04	Social	2.00
13-1041.04	Enterprising	4.33
13-1041.04	Conventional	6.67
13-1041.06	Realistic	5.00
13-1041.06	Investigative	6.67
13-1041.06	Artistic	1.33
13-1041.06	Social	2.33
13-1041.06	Enterprising	3.67
13-1041.06	Conventional	5.00
13-1041.07	Realistic	1.67
13-1041.07	Investigative	2.00
13-1041.07	Artistic	1.00
13-1041.07	Social	1.33
13-1041.07	Enterprising	5.67
13-1041.07	Conventional	6.33
13-1051.00	Realistic	3.00
13-1051.00	Investigative	2.67
13-1051.00	Artistic	1.00
13-1051.00	Social	1.33
13-1051.00	Enterprising	6.00
13-1051.00	Conventional	6.00
13-1071.00	Realistic	1.00
13-1071.00	Investigative	2.67
13-1071.00	Artistic	2.67
13-1071.00	Social	4.00
13-1071.00	Enterprising	6.00
13-1071.00	Conventional	4.67
13-1074.00	Realistic	3.00
13-1074.00	Investigative	1.00
13-1074.00	Artistic	1.00
13-1074.00	Social	3.00
13-1074.00	Enterprising	7.00
13-1074.00	Conventional	2.33
13-1075.00	Realistic	1.00
13-1075.00	Investigative	3.00
13-1075.00	Artistic	2.33
13-1075.00	Social	4.33
13-1075.00	Enterprising	6.33
13-1075.00	Conventional	4.67
13-1081.00	Realistic	2.33
13-1081.00	Investigative	2.33
13-1081.00	Artistic	1.33
13-1081.00	Social	3.33
13-1081.00	Enterprising	7.00
13-1081.00	Conventional	5.67
13-1081.01	Realistic	4.33
13-1081.01	Investigative	7.00
13-1081.01	Artistic	2.33
13-1081.01	Social	1.00
13-1081.01	Enterprising	3.33
13-1081.01	Conventional	5.33
13-1081.02	Realistic	2.67
13-1081.02	Investigative	3.33
13-1081.02	Artistic	1.33
13-1081.02	Social	1.33
13-1081.02	Enterprising	4.33
13-1081.02	Conventional	6.00
13-1111.00	Realistic	1.33
13-1111.00	Investigative	6.33
13-1111.00	Artistic	1.67
13-1111.00	Social	2.33
13-1111.00	Enterprising	6.00
13-1111.00	Conventional	4.33
13-1121.00	Realistic	1.67
13-1121.00	Investigative	1.33
13-1121.00	Artistic	2.33
13-1121.00	Social	4.33
13-1121.00	Enterprising	7.00
13-1121.00	Conventional	5.00
13-1131.00	Realistic	1.00
13-1131.00	Investigative	2.00
13-1131.00	Artistic	4.67
13-1131.00	Social	3.33
13-1131.00	Enterprising	6.67
13-1131.00	Conventional	5.00
13-1141.00	Realistic	2.33
13-1141.00	Investigative	2.67
13-1141.00	Artistic	1.67
13-1141.00	Social	2.67
13-1141.00	Enterprising	6.33
13-1141.00	Conventional	6.33
13-1151.00	Realistic	1.33
13-1151.00	Investigative	2.33
13-1151.00	Artistic	4.67
13-1151.00	Social	6.67
13-1151.00	Enterprising	4.00
13-1151.00	Conventional	4.67
13-1161.00	Realistic	1.33
13-1161.00	Investigative	6.67
13-1161.00	Artistic	1.67
13-1161.00	Social	1.33
13-1161.00	Enterprising	5.00
13-1161.00	Conventional	4.00
13-1199.01	Realistic	3.33
13-1199.01	Investigative	2.67
13-1199.01	Artistic	1.00
13-1199.01	Social	1.33
13-1199.01	Enterprising	4.67
13-1199.01	Conventional	7.00
13-1199.02	Realistic	5.33
13-1199.02	Investigative	5.00
13-1199.02	Artistic	2.33
13-1199.02	Social	1.33
13-1199.02	Enterprising	2.67
13-1199.02	Conventional	4.67
13-1199.03	Realistic	2.00
13-1199.03	Investigative	1.00
13-1199.03	Artistic	1.33
13-1199.03	Social	3.00
13-1199.03	Enterprising	6.33
13-1199.03	Conventional	5.67
13-1199.04	Realistic	1.00
13-1199.04	Investigative	4.33
13-1199.04	Artistic	2.00
13-1199.04	Social	1.67
13-1199.04	Enterprising	6.67
13-1199.04	Conventional	4.00
13-1199.05	Realistic	1.67
13-1199.05	Investigative	4.33
13-1199.05	Artistic	3.67
13-1199.05	Social	2.33
13-1199.05	Enterprising	5.67
13-1199.05	Conventional	3.00
13-1199.06	Realistic	4.00
13-1199.06	Investigative	1.33
13-1199.06	Artistic	1.67
13-1199.06	Social	2.33
13-1199.06	Enterprising	7.00
13-1199.06	Conventional	5.67
13-2011.01	Realistic	1.33
13-2011.01	Investigative	3.00
13-2011.01	Artistic	1.00
13-2011.01	Social	1.67
13-2011.01	Enterprising	4.00
13-2011.01	Conventional	7.00
13-2011.02	Realistic	1.67
13-2011.02	Investigative	3.67
13-2011.02	Artistic	1.00
13-2011.02	Social	2.00
13-2011.02	Enterprising	5.67
13-2011.02	Conventional	7.00
13-2021.01	Realistic	3.00
13-2021.01	Investigative	3.67
13-2021.01	Artistic	1.00
13-2021.01	Social	1.33
13-2021.01	Enterprising	5.33
13-2021.01	Conventional	5.67
13-2021.02	Realistic	3.67
13-2021.02	Investigative	2.00
13-2021.02	Artistic	1.00
13-2021.02	Social	2.33
13-2021.02	Enterprising	6.00
13-2021.02	Conventional	5.67
13-2031.00	Realistic	1.67
13-2031.00	Investigative	4.00
13-2031.00	Artistic	1.33
13-2031.00	Social	2.33
13-2031.00	Enterprising	5.67
13-2031.00	Conventional	7.00
13-2041.00	Realistic	2.67
13-2041.00	Investigative	3.00
13-2041.00	Artistic	1.00
13-2041.00	Social	3.00
13-2041.00	Enterprising	5.33
13-2041.00	Conventional	7.00
13-2051.00	Realistic	2.67
13-2051.00	Investigative	5.67
13-2051.00	Artistic	2.33
13-2051.00	Social	1.00
13-2051.00	Enterprising	5.00
13-2051.00	Conventional	6.67
13-2052.00	Realistic	1.00
13-2052.00	Investigative	3.00
13-2052.00	Artistic	1.33
13-2052.00	Social	3.67
13-2052.00	Enterprising	6.67
13-2052.00	Conventional	5.67
13-2053.00	Realistic	1.33
13-2053.00	Investigative	3.33
13-2053.00	Artistic	1.00
13-2053.00	Social	2.33
13-2053.00	Enterprising	4.67
13-2053.00	Conventional	6.33
13-2061.00	Realistic	1.33
13-2061.00	Investigative	3.00
13-2061.00	Artistic	1.33
13-2061.00	Social	2.00
13-2061.00	Enterprising	6.67
13-2061.00	Conventional	5.67
13-2071.00	Realistic	1.00
13-2071.00	Investigative	2.33
13-2071.00	Artistic	2.00
13-2071.00	Social	5.33
13-2071.00	Enterprising	5.33
13-2071.00	Conventional	5.33
13-2071.01	Realistic	1.00
13-2071.01	Investigative	2.00
13-2071.01	Artistic	1.67
13-2071.01	Social	5.33
13-2071.01	Enterprising	6.33
13-2071.01	Conventional	4.33
13-2072.00	Realistic	1.00
13-2072.00	Investigative	2.67
13-2072.00	Artistic	1.00
13-2072.00	Social	4.00
13-2072.00	Enterprising	6.00
13-2072.00	Conventional	6.67
13-2081.00	Realistic	2.67
13-2081.00	Investigative	2.00
13-2081.00	Artistic	1.00
13-2081.00	Social	3.33
13-2081.00	Enterprising	5.67
13-2081.00	Conventional	7.00
13-2082.00	Realistic	1.67
13-2082.00	Investigative	1.33
13-2082.00	Artistic	1.00
13-2082.00	Social	2.67
13-2082.00	Enterprising	4.67
13-2082.00	Conventional	7.00
13-2099.01	Realistic	2.33
13-2099.01	Investigative	6.67
13-2099.01	Artistic	3.67
13-2099.01	Social	1.33
13-2099.01	Enterprising	3.00
13-2099.01	Conventional	5.67
13-2099.02	Realistic	2.67
13-2099.02	Investigative	4.67
13-2099.02	Artistic	1.33
13-2099.02	Social	1.33
13-2099.02	Enterprising	5.67
13-2099.02	Conventional	7.00
13-2099.03	Realistic	2.33
13-2099.03	Investigative	3.00
13-2099.03	Artistic	1.00
13-2099.03	Social	2.33
13-2099.03	Enterprising	6.33
13-2099.03	Conventional	6.67
13-2099.04	Realistic	2.33
13-2099.04	Investigative	5.67
13-2099.04	Artistic	1.00
13-2099.04	Social	1.33
13-2099.04	Enterprising	6.33
13-2099.04	Conventional	3.67
15-1111.00	Realistic	5.00
15-1111.00	Investigative	7.00
15-1111.00	Artistic	4.33
15-1111.00	Social	1.00
15-1111.00	Enterprising	1.67
15-1111.00	Conventional	4.33
15-1121.00	Realistic	4.33
15-1121.00	Investigative	6.33
15-1121.00	Artistic	1.67
15-1121.00	Social	2.00
15-1121.00	Enterprising	3.33
15-1121.00	Conventional	6.33
15-1121.01	Realistic	3.00
15-1121.01	Investigative	5.00
15-1121.01	Artistic	2.00
15-1121.01	Social	5.33
15-1121.01	Enterprising	2.67
15-1121.01	Conventional	3.33
15-1122.00	Realistic	4.67
15-1122.00	Investigative	5.33
15-1122.00	Artistic	1.67
15-1122.00	Social	2.33
15-1122.00	Enterprising	2.33
15-1122.00	Conventional	6.33
15-1131.00	Realistic	3.33
15-1131.00	Investigative	7.00
15-1131.00	Artistic	3.00
15-1131.00	Social	2.00
15-1131.00	Enterprising	2.00
15-1131.00	Conventional	5.67
15-1132.00	Realistic	5.00
15-1132.00	Investigative	6.67
15-1132.00	Artistic	2.33
15-1132.00	Social	1.00
15-1132.00	Enterprising	2.67
15-1132.00	Conventional	4.67
15-1133.00	Realistic	4.00
15-1133.00	Investigative	7.00
15-1133.00	Artistic	2.67
15-1133.00	Social	2.33
15-1133.00	Enterprising	1.67
15-1133.00	Conventional	5.67
15-1134.00	Realistic	4.33
15-1134.00	Investigative	5.00
15-1134.00	Artistic	4.00
15-1134.00	Social	1.00
15-1134.00	Enterprising	3.33
15-1134.00	Conventional	5.33
15-1141.00	Realistic	3.33
15-1141.00	Investigative	5.33
15-1141.00	Artistic	2.33
15-1141.00	Social	2.33
15-1141.00	Enterprising	3.67
15-1141.00	Conventional	7.00
15-1142.00	Realistic	5.67
15-1142.00	Investigative	6.00
15-1142.00	Artistic	1.67
15-1142.00	Social	2.00
15-1142.00	Enterprising	4.00
15-1142.00	Conventional	4.67
15-1143.00	Realistic	4.00
15-1143.00	Investigative	6.00
15-1143.00	Artistic	2.33
15-1143.00	Social	2.00
15-1143.00	Enterprising	5.33
15-1143.00	Conventional	6.00
15-1143.01	Realistic	6.00
15-1143.01	Investigative	3.00
15-1143.01	Artistic	1.33
15-1143.01	Social	1.33
15-1143.01	Enterprising	5.33
15-1143.01	Conventional	3.67
15-1151.00	Realistic	5.67
15-1151.00	Investigative	5.33
15-1151.00	Artistic	1.67
15-1151.00	Social	4.33
15-1151.00	Enterprising	2.67
15-1151.00	Conventional	5.33
15-1152.00	Realistic	6.00
15-1152.00	Investigative	2.67
15-1152.00	Artistic	1.33
15-1152.00	Social	1.33
15-1152.00	Enterprising	4.00
15-1152.00	Conventional	3.67
15-1199.01	Realistic	4.33
15-1199.01	Investigative	6.33
15-1199.01	Artistic	2.00
15-1199.01	Social	1.00
15-1199.01	Enterprising	1.67
15-1199.01	Conventional	6.00
15-1199.02	Realistic	5.67
15-1199.02	Investigative	6.33
15-1199.02	Artistic	2.67
15-1199.02	Social	1.00
15-1199.02	Enterprising	1.67
15-1199.02	Conventional	4.33
15-1199.03	Realistic	4.00
15-1199.03	Investigative	4.33
15-1199.03	Artistic	2.00
15-1199.03	Social	1.00
15-1199.03	Enterprising	4.67
15-1199.03	Conventional	6.33
15-1199.04	Realistic	5.33
15-1199.04	Investigative	7.00
15-1199.04	Artistic	2.33
15-1199.04	Social	1.00
15-1199.04	Enterprising	2.00
15-1199.04	Conventional	5.00
15-1199.05	Realistic	5.00
15-1199.05	Investigative	5.67
15-1199.05	Artistic	1.67
15-1199.05	Social	1.33
15-1199.05	Enterprising	2.00
15-1199.05	Conventional	4.33
15-1199.06	Realistic	2.67
15-1199.06	Investigative	5.33
15-1199.06	Artistic	2.67
15-1199.06	Social	1.67
15-1199.06	Enterprising	3.67
15-1199.06	Conventional	4.00
15-1199.07	Realistic	1.67
15-1199.07	Investigative	5.67
15-1199.07	Artistic	2.00
15-1199.07	Social	1.67
15-1199.07	Enterprising	3.00
15-1199.07	Conventional	4.67
15-1199.08	Realistic	1.67
15-1199.08	Investigative	5.67
15-1199.08	Artistic	2.33
15-1199.08	Social	1.67
15-1199.08	Enterprising	5.33
15-1199.08	Conventional	4.00
15-1199.09	Realistic	1.67
15-1199.09	Investigative	3.00
15-1199.09	Artistic	2.00
15-1199.09	Social	2.00
15-1199.09	Enterprising	6.67
15-1199.09	Conventional	3.33
15-1199.10	Realistic	1.33
15-1199.10	Investigative	4.33
15-1199.10	Artistic	2.67
15-1199.10	Social	1.67
15-1199.10	Enterprising	5.33
15-1199.10	Conventional	3.67
15-1199.11	Realistic	2.00
15-1199.11	Investigative	3.00
15-1199.11	Artistic	6.00
15-1199.11	Social	1.67
15-1199.11	Enterprising	4.67
15-1199.11	Conventional	3.33
15-1199.12	Realistic	2.00
15-1199.12	Investigative	3.00
15-1199.12	Artistic	2.00
15-1199.12	Social	2.33
15-1199.12	Enterprising	2.67
15-1199.12	Conventional	7.00
15-2011.00	Realistic	2.00
15-2011.00	Investigative	4.33
15-2011.00	Artistic	1.67
15-2011.00	Social	1.00
15-2011.00	Enterprising	3.33
15-2011.00	Conventional	6.00
15-2021.00	Realistic	1.67
15-2021.00	Investigative	7.00
15-2021.00	Artistic	4.00
15-2021.00	Social	1.00
15-2021.00	Enterprising	1.67
15-2021.00	Conventional	4.67
15-2031.00	Realistic	3.00
15-2031.00	Investigative	6.33
15-2031.00	Artistic	2.67
15-2031.00	Social	1.67
15-2031.00	Enterprising	4.67
15-2031.00	Conventional	5.33
15-2041.00	Realistic	2.33
15-2041.00	Investigative	6.00
15-2041.00	Artistic	2.00
15-2041.00	Social	1.00
15-2041.00	Enterprising	2.00
15-2041.00	Conventional	6.33
15-2041.01	Realistic	3.00
15-2041.01	Investigative	6.67
15-2041.01	Artistic	2.00
15-2041.01	Social	1.67
15-2041.01	Enterprising	1.00
15-2041.01	Conventional	5.33
15-2041.02	Realistic	2.67
15-2041.02	Investigative	5.33
15-2041.02	Artistic	1.33
15-2041.02	Social	2.33
15-2041.02	Enterprising	3.00
15-2041.02	Conventional	7.00
15-2091.00	Realistic	5.67
15-2091.00	Investigative	6.33
15-2091.00	Artistic	2.33
15-2091.00	Social	1.33
15-2091.00	Enterprising	1.33
15-2091.00	Conventional	5.33
17-1011.00	Realistic	4.00
17-1011.00	Investigative	5.00
17-1011.00	Artistic	6.67
17-1011.00	Social	1.67
17-1011.00	Enterprising	4.00
17-1011.00	Conventional	2.33
17-1012.00	Realistic	5.00
17-1012.00	Investigative	5.33
17-1012.00	Artistic	6.33
17-1012.00	Social	1.67
17-1012.00	Enterprising	4.00
17-1012.00	Conventional	2.33
17-1021.00	Realistic	5.67
17-1021.00	Investigative	5.33
17-1021.00	Artistic	3.33
17-1021.00	Social	1.00
17-1021.00	Enterprising	2.00
17-1021.00	Conventional	5.33
17-1022.00	Realistic	6.67
17-1022.00	Investigative	5.00
17-1022.00	Artistic	3.33
17-1022.00	Social	1.33
17-1022.00	Enterprising	2.00
17-1022.00	Conventional	5.00
